1,Bakery products,17,1
2,Cosmetics,679,5
3,Dairy,594,3
4,Chicken,846,7
5,Nonalcoholic beverages,926,2
6,Sauces,452,5
7,Eggs,294,7
8,Pet foods,76,1
9,Salmon,676,6
10,Poultry,473,9
11,Tea,35,6
12,Dairy,796,6
13,Dairy,727,2
14,Decorations,506,4
15,Diet foods,248,1
16,Bakery products,963,3
17,Tea,6,6
18,Paper Goods,777,2
19,Cheese,115,9
20,Frozen foods,61,1
21,Coffee,391,2
22,Personal hygiene,761,8
23,Poultry,393,2
24,Hygiene products,926,7
25,Pasta,565,8
26,Flowers,854,8
27,Grooming products,853,7
28,Flowers,37,5
29,Flowers,451,3
30,Sauces,723,7
31,Diet foods,547,7
32,Detergents,774,2
33,Eggs,344,5
34,Olive oil,448,6
35,Tea,536,1
36,House-cleaning products,284,2
37,Pasta,421,3
38,Mustard,934,2
39,Personal hygiene,520,4
40,Paper Goods,890,3
41,Alcoholic beverages,678,7
42,Salmon,941,4
43,Grooming products,208,8
44,Decorations,150,5
45,Brown rice,858,4
46,Poultry,285,5
47,Flowers,565,2
48,Grooming products,104,3
49,Dishware,521,6
50,Sauces,872,3
